編號,中文地址,英文地址,地區,檢疫結束日期
1,加多近山,CADOGAN,中西區,2020-02-27
2,西摩道11號福澤花園A座,"BLOCK A, THE FORTUNE GARDENS, NO.11 SEYMOUR ROAD",中西區,2020-02-27
3,花園道55號愛都大廈3座,"BLOCK 3, ESTORIL COURT, NO.55 GARDEN ROAD",中西區,2020-02-27
4,皇后大道西355-359號,NO.355-359 QUEEN'S ROAD WEST,中西區,2020-02-27
5,泰成大廈,TAI SHING BUILDING,中西區,2020-02-27
6,高雲臺,GOLDWIN HEIGHTS,中西區,2020-02-27
7,啟豐大廈,KAI FUNG MANSION,中西區,2020-02-27
8,堅城中心,KENNEDY TOWN CENTRE,中西區,2020-02-27
9,第三街208號毓明閣1座,"BLOCK 1, YUK MING TOWERS, NO.208 THIRD STREET",中西區,2020-02-27
10,德輔道西333號,NO.333 DES VOEUX ROAD WEST,中西區,2020-02-27
11,德輔道西408A號,NO.408A DES VOEUX ROAD WEST,中西區,2020-02-27
12,蔚然,AZURA,中西區,2020-02-27
13,羅便臣道74號1座,"BLOCK 1, NO.74 ROBINSON ROAD",中西區,2020-02-27
14,BRANKSOME GRANDE,BRANKSOME GRANDE,中西區,2020-02-28
15,CONDUIT 18,CONDUIT 18,中西區,2020-02-28
16,加惠民道29號加惠臺1座,"BLOCK 1, CAYMAN RISE, NO.29 KA WAI MAN ROAD",中西區,2020-02-28
17,永成樓,WING SHING BUILDING,中西區,2020-02-28
18,永樂街105號,NO.105 WING LOK STREET,中西區,2020-02-28
19,先施西環大廈,SINCERE WESTERN HSE,中西區,2020-02-28
20,利基閣,TOPWORTH COURT,中西區,2020-02-28
21,卑路乍街48號,NO.48 BELCHER'S STREET,中西區,2020-02-28
22,和益大廈,WO YICK MANSION,中西區,2020-02-28
23,明興大廈,MING HING BUILDING,中西區,2020-02-28
24,東利大樓,TUNG LEE MANSION,中西區,2020-02-28
25,皇后大道西419號,NO.419 QUEEN'S ROAD WEST,中西區,2020-02-28
26,皇后大道西489-499號美新樓,"MEI SUN LAU, NO.489-499 QUEEN'S ROAD WEST",中西區,2020-02-28
27,堅彌地城新海旁38號泓都1座,"BLOCK 1, THE MERTON, NO.38 NEW PRAYA KENNEDY TOWN",中西區,2020-02-28
28,祥暉大廈,CHEUNG FAI BUILDING,中西區,2020-02-28
29,第二街108號,NO.108 SECOND STREET,中西區,2020-02-28
30,第二街143號海昇大廈2座,"BLOCK 2, HOI SING BUILDING, NO.143 SECOND STREET",中西區,2020-02-28
31,荷李活道108號聚賢居2座,"BLOCK 2, CENTRESTAGE, NO.108 HOLLYWOOD ROAD",中西區,2020-02-28
32,結志街28-32號,NO.28-32 GAGE STREET,中西區,2020-02-28
33,德輔道西343號均益大廈第二期A座,"BLOCK A, PHASE II, KWAN YICK BUILDING, NO.343 DES VOEUXROAD WEST",中西區,2020-02-28
34,樂信大廈,ROCKSON MANSION,中西區,2020-02-28
